HPSA_Name,HPSA_ID,Designation_Type,HPSA_Discipline_Class,HPSA_Score,Primary_State_Abbreviation,HPSA_Status,HPSA_Designation_Date,Withdrawn_Date,County_Name,HPSA Population Type,%of_Population_Below_100%_Poverty,Longitude,Latitude
Southeast Fairbanks Census Area,7023616149,Geographic HPSA,Mental Health,14,AK,Designated,12/06/2013,,,Geographic Population,13.6,,
Valdez (Catchment Area #19),7029990217,Geographic HPSA,Mental Health,0,AK,Withdrawn,04/24/1987,12/31/1996,,Geographic Population,12,,
Valdez-Cordova Census Area,7028557551,Geographic HPSA,Mental Health,14,AK,Designated,02/01/2001,,,Geographic Population,9.7,,
Wade-Hampton Area,702270,Geographic HPSA,Mental Health,0,AK,Withdrawn,08/15/1982,11/06/2009,,Geographic Population,27.8,,
Yakutat Borough,7024715404,Geographic HPSA,Mental Health,9,AK,Designated,10/08/2013,,,Geographic Population,4.7,,
Yukon-Koyukuk Census Area,7026521640,Geographic HPSA,Mental Health,15,AK,Designated,12/06/2013,,,Geographic Population,24,,
Calhoun/Cleburne - Mental Health Catchment Area 7,7017602467,Geographic HPSA,Mental Health,10,AL,Designated,08/09/1978,,,Geographic Population,21.3,,
Catchment Area M-3,7019990102,Geographic HPSA,Mental Health,0,AL,Withdrawn,08/09/1978,09/20/1999,,Geographic Population,10.9,,
Chilton-Shelby Counties,7019990109,Geographic HPSA,Mental Health,11,AL,Designated,08/02/2018,,,Geographic Population,10.5,,
Fort Smith Catchment Area,7059990514,Geographic HPSA,Mental Health,17,AR,Withdrawn,03/14/1997,06/26/2017,,Geographic Population,15.1,,
Helena Catchment Area,7053008250,Geographic HPSA,Mental Health,17,AR,Designated,02/13/1986,,,Geographic Population,27.9,,
Monticello Catchment Area,7059990504,Geographic HPSA,Mental Health,19,AR,Withdrawn,07/19/1978,06/26/2017,,Geographic Population,22.1,,
Mountain Home Catchment Area,7059990509,Geographic HPSA,Mental Health,18,AR,Withdrawn,06/16/1986,06/26/2017,,Geographic Population,14.9,,
Prairie County,705117,Geographic HPSA,Mental Health,12,AR,Withdrawn,11/04/1991,06/26/2017,,Geographic Population,15.5,,
Russellville Catchment Area,7059990510,Geographic HPSA,Mental Health,16,AR,Withdrawn,06/16/1986,06/26/2017,,Geographic Population,14.9,,
Texarkana Catchment Area,7051009930,Geographic HPSA,Mental Health,18,AR,Designated,07/19/1978,,,Geographic Population,21.7,,
Black Canyon City,7046322088,Geographic HPSA,Mental Health,12,AZ,Designated,12/26/2017,,,Geographic Population,15.5,,
Casa Grande,7048816607,Geographic HPSA,Mental Health,16,AZ,Designated,12/26/2017,,,Geographic Population,18.6,,
Chandler South,7048500051,Geographic HPSA,Mental Health,14,AZ,Designated,12/26/2017,,,Geographic Population,4.4,,
Florence,7043969975,Geographic HPSA,Mental Health,18,AZ,Designated,12/26/2017,,,Geographic Population,17.3,,
Fortuna Foothills,7047085077,Geographic HPSA,Mental Health,16,AZ,Designated,12/26/2017,,,Geographic Population,11.6,,
Gilbert South,7041210129,Geographic HPSA,Mental Health,13,AZ,Designated,12/26/2017,,,Geographic Population,6.8,,
Gold Canyon,7047096770,Geographic HPSA,Mental Health,11,AZ,Designated,12/26/2017,,,Geographic Population,4.7,,
Maricopa,7048383159,Geographic HPSA,Mental Health,12,AZ,Designated,12/26/2017,,,Geographic Population,9.5,,
Maricopa County,704013,Geographic HPSA,Mental Health,16,AZ,Withdrawn,03/02/2011,07/02/2018,,Geographic Population,,,
Mesa Gateway,7043302131,Geographic HPSA,Mental Health,15,AZ,Designated,12/26/2017,,,Geographic Population,11.1,,
Morenci,7048890577,Geographic HPSA,Mental Health,13,AZ,Designated,12/26/2017,,,Geographic Population,14.6,,
Northern Arizona Mental Health Catchment Area,7049990403,Geographic HPSA,Mental Health,18,AZ,Withdrawn,09/12/1979,07/02/2018,,Geographic Population,20.9,,
Parker,7043420663,Geographic HPSA,Mental Health,11,AZ,Designated,12/26/2017,,,Geographic Population,12.3,,
Payson,7048814804,Geographic HPSA,Mental Health,19,AZ,Designated,12/26/2017,,,Geographic Population,16.1,,
Picture Rocks,7045363212,Geographic HPSA,Mental Health,11,AZ,Designated,12/26/2017,,,Geographic Population,13.8,,
Pima County,704019,Geographic HPSA,Mental Health,16,AZ,Withdrawn,08/19/2013,07/02/2018,,Geographic Population,,,
Pima South Cathcment Area,7049990406,Geographic HPSA,Mental Health,0,AZ,Withdrawn,10/28/1982,10/02/1995,,Geographic Population,0,,
Pinal/Gila Catchment Area,7049990401,Geographic HPSA,Mental Health,18,AZ,Withdrawn,04/12/1979,07/02/2018,,Geographic Population,18.9,,
Quartzsite,7048981517,Geographic HPSA,Mental Health,16,AZ,Designated,12/26/2017,,,Geographic Population,15.8,,
Queen Creek,7041390685,Geographic HPSA,Mental Health,13,AZ,Designated,12/26/2017,,,Geographic Population,9.2,,
Rio Rico,7044503313,Geographic HPSA,Mental Health,15,AZ,Designated,12/26/2017,,,Geographic Population,14.8,,
Safford,7042716384,Geographic HPSA,Mental Health,17,AZ,Designated,12/26/2017,,,Geographic Population,14.3,,
San Tan Valley,7047378292,Geographic HPSA,Mental Health,14,AZ,Designated,12/26/2017,,,Geographic Population,13.1,,
Show Low,7042870501,Geographic HPSA,Mental Health,18,AZ,Designated,12/26/2017,,,Geographic Population,18.9,,
Sierra Vista,7042848659,Geographic HPSA,Mental Health,9,AZ,Designated,12/26/2017,,,Geographic Population,13.6,,
Snowflake/Heber,7048121321,Geographic HPSA,Mental Health,18,AZ,Designated,12/26/2017,,,Geographic Population,16.4,,
Southeast Arizona Catchment Area,7049990452,Geographic HPSA,Mental Health,18,AZ,Withdrawn,03/19/2007,07/02/2018,,Geographic Population,20.5,,
Southwest Arizona Catchment Area,7049990408,Geographic HPSA,Mental Health,18,AZ,Withdrawn,07/31/1998,07/02/2018,,Geographic Population,20.8,,
Springerville/Eager,7045105247,Geographic HPSA,Mental Health,18,AZ,Designated,12/26/2017,,,Geographic Population,19.6,,
Surprise North and Wickenburg,7047449824,Geographic HPSA,Mental Health,15,AZ,Designated,12/26/2017,,,Geographic Population,15.2,,
Thatcher,7045083838,Geographic HPSA,Mental Health,17,AZ,Designated,12/26/2017,,,Geographic Population,18.6,,
Tucson South East,7049835258,Geographic HPSA,Mental Health,13,AZ,Designated,12/26/2017,,,Geographic Population,6,,
Vail,7044856007,Geographic HPSA,Mental Health,13,AZ,Designated,12/26/2017,,,Geographic Population,5.7,,
Willcox and Bowie,7048974420,Geographic HPSA,Mental Health,11,AZ,Designated,12/26/2017,,,Geographic Population,13.2,,
Williamson,7047890081,Geographic HPSA,Mental Health,15,AZ,Designated,12/26/2017,,,Geographic Population,12,,
Yuma,7042343955,Geographic HPSA,Mental Health,18,AZ,Designated,12/26/2017,,,Geographic Population,19.1,,
Butte County,706007,Geographic HPSA,Mental Health,15,CA,Withdrawn,11/17/2010,06/26/2017,,Geographic Population,,,
Calaveras County,7068979713,Geographic HPSA,Mental Health,10,CA,Designated,11/07/1997,,,Geographic Population,12.1,,
Delano,7069990601,Geographic HPSA,Mental Health,0,CA,Withdrawn,07/19/1978,10/02/1995,,Geographic Population,0,,
East Contra Costa,7069990605,Geographic HPSA,Mental Health,0,CA,Withdrawn,10/28/1982,10/02/1995,,Geographic Population,0,,
East Palo Alto,7069990612,Geographic HPSA,Mental Health,0,CA,Withdrawn,10/30/1987,12/31/1996,,Geographic Population,0,,
East Stanislaus County,7069990642,Geographic HPSA,Mental Health,0,CA,Withdrawn,09/10/2001,06/29/2012,,Geographic Population,,,
El Cajon (MSSA 161H),70699906L1,Geographic HPSA,Mental Health,0,CA,Withdrawn,02/13/2006,06/29/2012,,Geographic Population,,,
El Dorado County,706017,Geographic HPSA,Mental Health,14,CA,Withdrawn,01/03/2008,06/27/2013,,Geographic Population,,,
Garberville/Redway (MSSA 44),7069990640,Geographic HPSA,Mental Health,0,CA,Withdrawn,11/24/2000,02/28/2002,,Geographic Population,22.1,,
Garberville/Redway (MSSA 44),7069990656,Geographic HPSA,Mental Health,0,CA,Withdrawn,08/22/2002,04/27/2007,,Geographic Population,22.1,,
Humboldt,706023,Geographic HPSA,Mental Health,0,CA,Withdrawn,02/28/2002,06/29/2012,,Geographic Population,,,
Kings County,706031,Geographic HPSA,Mental Health,16,CA,Withdrawn,06/12/1989,06/26/2017,,Geographic Population,30.5,,
Lakeside/Winter Gardens (MSSA 161U),70699906G8,Geographic HPSA,Mental Health,0,CA,Withdrawn,03/09/2005,06/29/2012,,Geographic Population,,,
Lancaster/Palmdale (MSSA 77.1A-C),7069990646,Geographic HPSA,Mental Health,0,CA,Withdrawn,11/15/2001,11/03/2011,,Geographic Population,,,
Lassen,706035,Geographic HPSA,Mental Health,0,CA,Withdrawn,05/10/2001,11/03/2011,,Geographic Population,,,
Lathrop/Manteca (MSSA 164.1),70699906E9,Geographic HPSA,Mental Health,0,CA,Withdrawn,12/15/2003,06/29/2012,,Geographic Population,,,
Lockeford/Woodbridge (MSSAs 167 and 168),70699906K9,Geographic HPSA,Mental Health,0,CA,Withdrawn,02/13/2006,06/29/2012,,Geographic Population,,,
Merced County,706047,Geographic HPSA,Mental Health,18,CA,Withdrawn,05/20/1996,06/26/2017,,Geographic Population,21.9,,
Mono County,706051,Geographic HPSA,Mental Health,14,CA,Withdrawn,01/16/2003,06/26/2017,,Geographic Population,11.9,,
MSSA 105 and 106 King City/San Ardo,70699906W4,Geographic HPSA,Mental Health,14,CA,Withdrawn,02/28/2008,06/26/2017,,Geographic Population,29.3,,
MSSA 107 - Soledad,70699906W5,Geographic HPSA,Mental Health,13,CA,Withdrawn,02/28/2008,06/26/2017,,Geographic Population,29.2,,
MSSA 117/Dollar Point,70699906LS,Geographic HPSA,Mental Health,10,CA,Withdrawn,11/05/2008,07/01/2016,,Geographic Population,0.4,,
MSSA 131B/Temecula North,7069429222,Geographic HPSA,Mental Health,14,CA,Designated,04/13/2018,,,Geographic Population,7.1,,
MSSA 145.1A/Hesperia West and MSSA 145.1B/Apple Vall,706999060S,Geographic HPSA,Mental Health,16,CA,Withdrawn,04/02/2013,06/26/2017,,Geographic Population,,,
MSSA 145.2/Adelanto,7066421770,Geographic HPSA,Mental Health,19,CA,Designated,11/20/2012,,,Geographic Population,30.8,,
MSSA 145.3/Lucerne Valley,7068705665,Geographic HPSA,Mental Health,12,CA,Designated,12/27/2012,,,Geographic Population,24.1,,
MSSA 146/Big Bear Lake,7069990667,Geographic HPSA,Mental Health,16,CA,Withdrawn,10/17/2003,07/02/2018,,Geographic Population,11.9,,
MSSA 147/Crestline/Blue Jay,7068600955,Geographic HPSA,Mental Health,15,CA,Designated,11/29/2012,,,Geographic Population,16.4,,
MSSA 148/Lytle Creek/Wrightwood,7063440783,Geographic HPSA,Mental Health,9,CA,Designated,08/25/2006,,,Geographic Population,10.5,,
MSSA 149/Barstow,7069990641,Geographic HPSA,Mental Health,17,CA,Withdrawn,12/15/2011,06/26/2017,,Geographic Population,,,
MSSA 150/Baker/Harvard/Newberry Springs,7066314683,Geographic HPSA,Mental Health,14,CA,Designated,08/24/2006,,,Geographic Population,12.3,,
MSSA 156A (Encinitas Central/Oceanside),70699906F9,Geographic HPSA,Mental Health,0,CA,Withdrawn,09/22/2004,11/03/2011,,Geographic Population,,,
MSSA 159/Buckman Springs,7065445759,Geographic HPSA,Mental Health,10,CA,Designated,02/28/2008,,,Geographic Population,15.4,,
MSSA 163/Tracy,7069990649,Geographic HPSA,Mental Health,0,CA,Withdrawn,02/15/2002,06/29/2012,,Geographic Population,,,
MSSA 164.2 (Banta),70699906AM,Geographic HPSA,Mental Health,14,CA,Withdrawn,09/29/2011,07/01/2016,,Geographic Population,,,
MSSA 17-Brentwood East,7068847504,Geographic HPSA,Mental Health,14,CA,Designated,10/27/2017,,,Geographic Population,7.8,,
MSSA 202B (Fairfield),70699906E8,Geographic HPSA,Mental Health,0,CA,Withdrawn,11/22/2003,11/03/2011,,Geographic Population,,,
MSSA 237-Santa Paula,7065545521,Geographic HPSA,Mental Health,14,CA,Designated,10/21/2015,,,Geographic Population,19.2,,
"MSSA 36.1,36.2,37-Glenn County",7066155508,Geographic HPSA,Mental Health,19,CA,Designated,09/16/1986,,,Geographic Population,19.9,,
MSSA 78.1/Avalon,7061740519,Geographic HPSA,Mental Health,10,CA,Proposed For Withdrawal,02/13/2006,,,Geographic Population,10.7,,
MSSAs 178.1/178.2/179/180.2/Buellton/Solvang/Lompo,7069990609,Geographic HPSA,Mental Health,12,CA,Withdrawn,11/15/2012,06/26/2017,,Geographic Population,,,
Northwest Tulare,7069990616,Geographic HPSA,Mental Health,0,CA,Withdrawn,05/26/2000,06/29/2012,,Geographic Population,,,
Oakland South (MSSA 2D),7069990658,Geographic HPSA,Mental Health,0,CA,Withdrawn,11/04/2002,11/03/2011,,Geographic Population,,,
Plumas County,706063,Geographic HPSA,Mental Health,17,CA,Withdrawn,05/18/2009,06/27/2013,,Geographic Population,,,
Porterville/Springville (MSSA 231-232),7069990619,Geographic HPSA,Mental Health,0,CA,Withdrawn,05/26/2000,11/03/2011,,Geographic Population,,,
Ridgecrest,7069990602,Geographic HPSA,Mental Health,0,CA,Withdrawn,07/19/1978,10/02/1995,,Geographic Population,30,,
Rural Eastern Kern County (MSSA 62-65),7069990652,Geographic HPSA,Mental Health,0,CA,Withdrawn,03/22/2002,11/03/2011,,Geographic Population,,,
Shasta,706089,Geographic HPSA,Mental Health,16,CA,Withdrawn,02/12/1999,06/27/2013,,Geographic Population,,,
Siskiyou,706093,Geographic HPSA,Mental Health,0,CA,Withdrawn,10/18/2000,06/29/2012,,Geographic Population,,,
Taft,7069990604,Geographic HPSA,Mental Health,0,CA,Withdrawn,07/19/1978,10/02/1995,,Geographic Population,0,,
Three Rivers (MSSA 229),7069990618,Geographic HPSA,Mental Health,0,CA,Withdrawn,05/26/2000,06/29/2012,,Geographic Population,,,
Tipton/Tulare (MSSA 230),7069990617,Geographic HPSA,Mental Health,0,CA,Withdrawn,05/26/2000,01/24/2008,,Geographic Population,27.3,,
Tuolumne County,706109,Geographic HPSA,Mental Health,16,CA,Withdrawn,11/07/1997,06/26/2017,,Geographic Population,12,,
Vallejo (MSSA 204),70699906K7,Geographic HPSA,Mental Health,0,CA,Withdrawn,12/30/2005,06/29/2012,,Geographic Population,,,
Victorville,7069990611,Geographic HPSA,Mental Health,0,CA,Withdrawn,05/28/1985,10/02/1995,,Geographic Population,0,,
West Stanislaus County,7069990643,Geographic HPSA,Mental Health,0,CA,Withdrawn,09/10/2001,06/29/2012,,Geographic Population,,,
Aspen Pointe Mental Health Catchment Area,7086594318,Geographic HPSA,Mental Health,16,CO,Designated,11/15/2012,,,Geographic Population,12.2,,
Centennial Mental Health Catchment Area,7085205784,Geographic HPSA,Mental Health,17,CO,Designated,03/05/1993,,,Geographic Population,12.5,,
Clear Creek County,7082848553,Geographic HPSA,Mental Health,9,CO,Proposed For Withdrawal,09/04/2013,,,Geographic Population,9.2,,
Colorado West Regional Mental Health Catchment Area,7086381667,Geographic HPSA,Mental Health,16,CO,Designated,12/02/2010,,,Geographic Population,13.1,,
Gilpin County,7088778945,Geographic HPSA,Mental Health,8,CO,Proposed For Withdrawal,09/04/2013,,,Geographic Population,10.3,,
Midwestern Colorado Mental Health Catchment Area,7088082327,Geographic HPSA,Mental Health,17,CO,Designated,12/02/2005,,,Geographic Population,15.8,,
Northwest Colorado,7089990803,Geographic HPSA,Mental Health,0,CO,Withdrawn,11/01/1979,10/02/1995,,Geographic Population,11.6,,
San Luis Valley,7088378038,Geographic HPSA,Mental Health,20,CO,Designated,09/14/1982,,,Geographic Population,23.2,,
Southwestern Mental Health Catchment Area,7083968009,Geographic HPSA,Mental Health,11,CO,Designated,09/06/2013,,,Geographic Population,13.3,,
West Central Mental Health Region,7084348192,Geographic HPSA,Mental Health,16,CO,Designated,02/06/1992,,,Geographic Population,14.6,,
Catchment Area 14,7099990914,Geographic HPSA,Mental Health,0,CT,Withdrawn,08/14/1981,10/02/1995,,Geographic Population,0,,
Charter Oak Terrace/Rice Heights,7099990915,Geographic HPSA,Mental Health,0,CT,Withdrawn,12/13/1994,06/13/2002,,Geographic Population,35,,
Greater Bridgeport,7099990901,Geographic HPSA,Mental Health,0,CT,Withdrawn,01/30/1981,10/02/1995,,Geographic Population,30,,
Litchfield County,7098038306,Geographic HPSA,Mental Health,13,CT,Designated,04/20/2011,,,Geographic Population,6.8,,
New Haven County,709009,Geographic HPSA,Mental Health,15,CT,Withdrawn,06/12/2014,07/02/2018,,Geographic Population,,,
New London County,7093807426,Geographic HPSA,Mental Health,11,CT,Withdrawn,12/03/2010,07/02/2018,,Geographic Population,9.1,,
Region Three,7094821381,Geographic HPSA,Mental Health,16,CT,Designated,11/30/2017,,,Geographic Population,9.9,,
Tolland County,709013,Geographic HPSA,Mental Health,15,CT,Withdrawn,07/19/2011,07/02/2018,,Geographic Population,,,
Windham County,7093181323,Geographic HPSA,Mental Health,11,CT,Withdrawn,03/16/2011,07/02/2018,,Geographic Population,11.4,,
Kent,710001,Geographic HPSA,Mental Health,0,DE,Withdrawn,08/02/1978,10/06/1993,,Geographic Population,11.3,,
North Kent/Southern New Castle,7109991006,Geographic HPSA,Mental Health,0,DE,Withdrawn,12/19/2007,06/29/2012,,Geographic Population,,,
Sussex,710005,Geographic HPSA,Mental Health,0,DE,Withdrawn,08/02/1978,10/06/1993,,Geographic Population,10.7,,
Western/Southern Sussex County,7109991005,Geographic HPSA,Mental Health,0,DE,Withdrawn,11/28/2007,06/29/2012,,Geographic Population,,,
Belle Glade/Pahokee,7129991211,Geographic HPSA,Mental Health,0,FL,Withdrawn,11/09/1984,02/25/2003,,Geographic Population,26.4,,
Crestview - Defuniak Springs,7129991213,Geographic HPSA,Mental Health,0,FL,Withdrawn,03/06/1981,10/02/1995,,Geographic Population,0,,
Dixie County,7127866977,Geographic HPSA,Mental Health,16,FL,Designated,06/13/2003,,,Geographic Population,18.8,,
Eastern Collier,7129991206,Geographic HPSA,Mental Health,0,FL,Withdrawn,03/02/1981,10/02/1995,,Geographic Population,31,,
Franklin County,7126010254,Geographic HPSA,Mental Health,16,FL,Designated,09/24/2001,,,Geographic Population,22.9,,
Gadsden County,7127040757,Geographic HPSA,Mental Health,17,FL,Designated,11/21/2011,,,Geographic Population,27.2,,
Gilchrist County,712041,Geographic HPSA,Mental Health,15,FL,Withdrawn,06/13/2003,06/26/2017,,Geographic Population,14,,
Glades/Hendry Catchment Area,7125534314,Geographic HPSA,Mental Health,17,FL,Designated,03/23/2007,,,Geographic Population,26.2,,
Indiantown Service Area,7128117565,Geographic HPSA,Mental Health,14,FL,Designated,09/27/2005,,,Geographic Population,19.4,,
Jefferson County,712065,Geographic HPSA,Mental Health,15,FL,Withdrawn,09/24/2001,07/01/2016,,Geographic Population,18.4,,
Liberty County,7122661255,Geographic HPSA,Mental Health,14,FL,Designated,09/21/2001,,,Geographic Population,16.9,,
Mental Health Catchment Area 3A,7129991209,Geographic HPSA,Mental Health,14,FL,Withdrawn,07/19/1982,06/26/2017,,Geographic Population,16.6,,
Model Cities,7129991220,Geographic HPSA,Mental Health,0,FL,Withdrawn,10/18/1994,09/15/2000,,Geographic Population,34.1,,
Monroe,712087,Geographic HPSA,Mental Health,0,FL,Withdrawn,10/24/2001,06/06/2006,,Geographic Population,10,,
Putnam County,7125887725,Geographic HPSA,Mental Health,18,FL,Designated,09/28/1987,,,Geographic Population,26.5,,
Santa Rosa Mental Health (Catchment Area 23),7129991208,Geographic HPSA,Mental Health,0,FL,Withdrawn,02/04/1982,10/02/1995,,Geographic Population,0,,
Seminole,712117,Geographic HPSA,Mental Health,0,FL,Withdrawn,11/23/1979,09/30/1986,,Geographic Population,7.2,,
Southeast Hillsborough,712999121Z,Geographic HPSA,Mental Health,14,FL,Withdrawn,07/28/2005,06/26/2017,,Geographic Population,10.5,,
Taylor County,7128300205,Geographic HPSA,Mental Health,16,FL,Designated,09/24/2001,,,Geographic Population,13.7,,
Upper/Middle Keys,7129991223,Geographic HPSA,Mental Health,0,FL,Withdrawn,05/18/1998,10/24/2001,,Geographic Population,10.5,,
Wakulla County,7128843654,Geographic HPSA,Mental Health,15,FL,Designated,09/24/2001,,,Geographic Population,13.3,,
Walton County,7125423852,Geographic HPSA,Mental Health,17,FL,Designated,09/10/2001,,,Geographic Population,17.6,,
Advantage Behavioral Health Systems Service Area,713999130G,Geographic HPSA,Mental Health,15,GA,Withdrawn,05/19/2014,07/02/2018,,Geographic Population,,,
Chattahoochee-Flint,7139991309,Geographic HPSA,Mental Health,16,GA,Withdrawn,07/22/1986,07/02/2018,,Geographic Population,13.5,,
Douglas County,713097,Geographic HPSA,Mental Health,12,GA,Withdrawn,01/15/2013,06/26/2017,,Geographic Population,,,
Effingham County,7136409451,Geographic HPSA,Mental Health,16,GA,Designated,01/03/2013,,,Geographic Population,10.5,,
Georgia Mountains Service Area,7139991311,Geographic HPSA,Mental Health,12,GA,Withdrawn,08/19/2005,07/02/2018,,Geographic Population,12.3,,
Haralson County,7131484931,Geographic HPSA,Mental Health,16,GA,Designated,08/01/1986,,,Geographic Population,20.9,,
Hinesville,7139991323,Geographic HPSA,Mental Health,17,GA,Withdrawn,11/29/2000,07/02/2018,,Geographic Population,14.7,,
Kirkwood Subregion,7139991301,Geographic HPSA,Mental Health,0,GA,Withdrawn,03/10/1980,07/22/1986,,Geographic Population,0,,
Lookout Mountain Catchment Area 1,7134341477,Geographic HPSA,Mental Health,13,GA,Designated,07/20/1992,,,Geographic Population,16.3,,
Mental Health Catchment Area 02-Highland Rivers,7131178070,Geographic HPSA,Mental Health,12,GA,Designated,08/01/1986,,,Geographic Population,17.1,,
Mental Health Catchment Area 15-Pathways Center for Behavioral and Developmental Growth,7136668597,Geographic HPSA,Mental Health,8,GA,Designated,06/21/2017,,,Geographic Population,17.9,,
Mental Health Catchment Area 16 - McIntosh Trail Community Service Board,7138577680,Geographic HPSA,Mental Health,9,GA,Designated,02/02/1979,,,Geographic Population,14,,
Mental Health Catchment Area 2-Georgia Highlands,7133448219,Geographic HPSA,Mental Health,8,GA,Designated,12/17/1981,,,Geographic Population,19.5,,
Phoenix Catchment Area,7139991325,Geographic HPSA,Mental Health,0,GA,Withdrawn,02/02/2001,11/03/2011,,Geographic Population,,,
South Central Fulton,7139991303,Geographic HPSA,Mental Health,0,GA,Withdrawn,07/08/1981,11/03/2011,,Geographic Population,,,
Guam is,7665725391,Geographic HPSA,Mental Health,12,GU,Proposed For Withdrawal,08/01/2016,,,Geographic Population,23,,
Territory of Guam,7669996601,Geographic HPSA,Mental Health,0,GU,Withdrawn,10/14/1981,11/03/2011,,Geographic Population,,,
Hana East Maui,7156276363,Geographic HPSA,Mental Health,10,HI,Designated,09/15/2006,,,Geographic Population,16.2,,
Island of Molokai,7158396448,Geographic HPSA,Mental Health,14,HI,Designated,08/31/2000,,,Geographic Population,18.1,,
Kalihi Palama,7159991506,Geographic HPSA,Mental Health,0,HI,Withdrawn,04/09/2001,11/03/2011,,Geographic Population,,,
