HPSA_Name,HPSA_ID,Designation_Type,HPSA_Discipline_Class,HPSA_Score,Primary_State_Abbreviation,HPSA_Status,HPSA_Designation_Date,Withdrawn_Date,County_Name,HPSA Population Type,pct_of_pop_below_poverty,Longitude,Latitude
Norton Sound Health Corporation-Tribal Clinic,1029990206,Alaskan Native Tribal Population,Primary Care,17,AK,Designated,05/17/2013,,Nome Census Area,,,-165.4067825,64.499244
Norton Sound Regional Hospital Fast Track,702999020A,Alaskan Native Tribal Population,Mental Health,18,AK,Designated,05/17/2013,,Nome Census Area,,,-165.4067825,64.499244
Norton Sound Regional Hospital Fast Track,602999020B,Alaskan Native Tribal Population,Dental Health,17,AK,Designated,05/17/2013,,Nome Census Area,,,-165.4067825,64.499244
Norton Sound Regional Hosptial Fast Track,1029990208,Alaskan Native Tribal Population,Primary Care,17,AK,Designated,05/17/2013,,Nome Census Area,,,-165.4067825,64.499244
"Nshc Clinic, Native Village of Diomede",7029990212,Alaskan Native Tribal Population,Mental Health,19,AK,Designated,03/16/2018,,Nome Census Area,,,-165.4067825,64.499244
"Nshc Clinic, Native Village of Diomede",6029990217,Alaskan Native Tribal Population,Dental Health,16,AK,Designated,03/16/2018,,Nome Census Area,,,-165.4067825,64.499244
"Nshc Clinic, Native Village of Diomede",10299902AC,Alaskan Native Tribal Population,Primary Care,18,AK,Designated,10/02/2002,,Nome Census Area,,,-165.4067825,64.499244
Scf Valley Native Primary Care Center,702999026G,Alaskan Native Tribal Population,Mental Health,19,AK,Designated,08/15/2011,,Matanuska-Susitna Borough,,,-149.4037606,61.57443248
Scf Valley Native Primary Care Center,602999024C,Alaskan Native Tribal Population,Dental Health,17,AK,Designated,08/15/2011,,Matanuska-Susitna Borough,,,-149.4037606,61.57443248
Scf Valley Native Primary Care Center,10299902AG,Alaskan Native Tribal Population,Primary Care,15,AK,Designated,08/15/2011,,Matanuska-Susitna Borough,,,-149.4037606,61.57443248
Searhc - Ethel Lund Clinic,10299902AL,Alaskan Native Tribal Population,Primary Care,17,AK,Designated,01/02/2019,,Juneau Borough,,,-134.4666206,58.33133774
Searhc - Mt. Edgecumbe Primary Care Clinic,10299902AH,Alaskan Native Tribal Population,Primary Care,18,AK,Designated,10/26/2002,,Sitka Borough,,,-135.3547936,57.04957761
Searhc/MT. Edgecumbe Hospital,702999026B,Alaskan Native Tribal Population,Mental Health,17,AK,Designated,10/26/2002,,Sitka Borough,,,-135.3547936,57.04957761
Searhc\Mt. Edgecumbe Hospital,6029990247,Alaskan Native Tribal Population,Dental Health,16,AK,Designated,10/26/2002,,Sitka Borough,,,-135.3547936,57.04957761
Searhc-Craig Behavioral Health,702999020B,Alaskan Native Tribal Population,Mental Health,17,AK,Designated,05/22/2013,,Prince of Wales-Hyder Census Area,,,-133.1146353,55.52790003
Snoqualmie-North Bend Family Clinic,753999539B,Alaskan Native Tribal Population,Mental Health,18,WA,Designated,10/26/2011,,King County,,,-121.7880869,47.49258956
3rd Ave/6th Ave Annex/Ridgeview,1029990213,Correctional Facility,Primary Care,0,AK,Withdrawn,10/12/1984,10/02/1995,,,,-151.0041578,64.80808789
CF-Anchorage Correctional Complex,7023921828,Correctional Facility,Mental Health,6,AK,Designated,10/14/2016,,Anchorage Borough,,,-149.85807,61.218535
CF-Anchorage Correctional Complex,6023205491,Correctional Facility,Dental Health,6,AK,Designated,10/14/2016,,Anchorage Borough,,,-149.85807,61.218535
CF-Anchorage Correctional Complex,1023118553,Correctional Facility,Primary Care,3,AK,Designated,10/14/2016,,Anchorage Borough,,,-149.85807,61.218535
CF-Fairbanks Correctional Center,7022015644,Correctional Facility,Mental Health,12,AK,Withdrawn,10/20/2016,06/26/2017,Fairbanks North Star Borough,,,-147.758474,64.833532
CF-Fairbanks Correctional Center,6026885134,Correctional Facility,Dental Health,12,AK,Withdrawn,10/20/2016,06/26/2017,Fairbanks North Star Borough,,,-147.758474,64.833532
CF-Fairbanks Correctional Center,1024473579,Correctional Facility,Primary Care,6,AK,Withdrawn,10/20/2016,06/26/2017,Fairbanks North Star Borough,,,-147.758474,64.833532
Cook Inlet Pre-Trial Facility,1029990212,Correctional Facility,Primary Care,0,AK,Withdrawn,10/12/1984,05/30/1997,,,,-151.0041578,64.80808789
Goose Creek Correctional Center,7028546287,Correctional Facility,Mental Health,12,AK,Designated,03/30/2017,,Matanuska-Susitna Borough,,,-150.0004968,61.35771333
Goose Creek Correctional Center,6023525245,Correctional Facility,Dental Health,3,AK,Designated,03/30/2017,,Matanuska-Susitna Borough,,,-150.0004968,61.35771333
Goose Creek Correctional Center,1028724657,Correctional Facility,Primary Care,3,AK,Designated,03/30/2017,,Matanuska-Susitna Borough,,,-150.0004968,61.35771333
Highland Mountain/Meadow Creek Correctional Center,1029990210,Correctional Facility,Primary Care,0,AK,Withdrawn,10/12/1984,05/30/1997,,,,-151.0041578,64.80808789
Palmer Correctional Center,1029990211,Correctional Facility,Primary Care,0,AK,Withdrawn,10/12/1984,05/30/1997,,,,-151.0041578,64.80808789
Spring Creek Correctional Center,7025327537,Correctional Facility,Mental Health,15,AK,Designated,09/16/2016,,Kenai Peninsula Borough,,,-149.3478383,60.093576
Spring Creek Correctional Center,6028112284,Correctional Facility,Dental Health,6,AK,Designated,10/14/2016,,Kenai Peninsula Borough,,,-149.3478383,60.093576
Spring Creek Correctional Center,1024873250,Correctional Facility,Primary Care,3,AK,Designated,09/16/2016,,Kenai Peninsula Borough,,,-149.3433785,60.09369049
Wildwood Correction Center,1029990219,Correctional Facility,Primary Care,0,AK,Withdrawn,06/17/1992,05/30/1997,,,,-151.0041578,64.80808789
Bibb Correctional Facility,7017922876,Correctional Facility,Mental Health,12,AL,Designated,01/04/2008,,Bibb County,,,-87.162695,32.921376
Bibb Correctional Facility,6013031236,Correctional Facility,Dental Health,3,AL,Designated,10/19/2018,,Bibb County,,,-87.16457286,32.92232575
Bibb Correctional Facility,1011329171,Correctional Facility,Primary Care,21,AL,Designated,07/28/2016,,Bibb County,,,-87.162685,32.921461
Bullock Correctional Facility,7019990154,Correctional Facility,Mental Health,12,AL,Withdrawn,01/04/2008,06/27/2013,Bullock County,,,-85.64633959,32.14601608
Bullock Correctional Facility,6013112239,Correctional Facility,Dental Health,3,AL,Designated,08/29/2018,,Bullock County,,,-85.672382,32.148503
Bullock Correctional Facility,1012247698,Correctional Facility,Primary Care,15,AL,Designated,08/09/2018,,Bullock County,,,-85.672388,32.148489
CF-Bullock,1012910865,Correctional Facility,Primary Care,12,AL,Proposed For Withdrawal,08/01/2016,,Bullock County,,,-85.67240361,32.14658581
CF-Draper Correctional Facility,1016894995,Correctional Facility,Primary Care,6,AL,Designated,12/04/2012,,Elmore County,,,-86.35268999,32.52576
CF-St. Clair Correctional Facility,1016093530,Correctional Facility,Primary Care,6,AL,Proposed For Withdrawal,11/07/2016,,St. Clair County,,,-86.385752,33.743068
CF-William E. Donaldson Correctional Facility,1018487925,Correctional Facility,Primary Care,0,AL,Designated,10/27/2016,,Jefferson County,,,-87.18154465,33.52430958
Donaldson Correctional Facility,6019990186,Correctional Facility,Dental Health,0,AL,Withdrawn,03/07/2007,06/29/2012,Jefferson County,,,-87.18154465,33.52430958
Draper Correctional Facility,7019990152,Correctional Facility,Mental Health,6,AL,Proposed For Withdrawal,01/04/2008,,Elmore County,,,-86.33653571,32.53155065
Easterling Correctional Facility,7019092426,Correctional Facility,Mental Health,12,AL,Designated,01/04/2008,,Barbour County,,,-85.585439,31.689435
Easterling Correctional Facility,1012274622,Correctional Facility,Primary Care,12,AL,Designated,07/20/2016,,Barbour County,,,-85.58545,31.689536
Easterling Correctional Facility,6015045106,Correctional Facility,Dental Health,6,AL,Designated,10/19/2018,,Barbour County,,,-85.585455,31.689435
Federal Correctional Institution - Talladega,7019990164,Correctional Facility,Mental Health,21,AL,Proposed For Withdrawal,11/17/2009,,Talladega County,,,-86.14319193,33.42484154
Federal Correctional Institution - Talladega,6019990110,Correctional Facility,Dental Health,12,AL,Proposed For Withdrawal,06/24/1994,,Talladega County,,,-86.14319193,33.42484154
Federal Correctional Institution - Talladega,1019990164,Correctional Facility,Primary Care,12,AL,Proposed For Withdrawal,03/18/1994,,Talladega County,,,-86.14319193,33.42484154
Fountain Correctional Facility,7017350292,Correctional Facility,Mental Health,15,AL,Designated,01/04/2008,,Escambia County,,,-87.464566,31.156991
Fountain Correctional Facility,6015430101,Correctional Facility,Dental Health,6,AL,Designated,08/31/2018,,Escambia County,,,-87.464582,31.156991
Fountain Correctional Facility,1011512703,Correctional Facility,Primary Care,3,AL,Designated,08/29/2016,,Escambia County,,,-87.464748,31.156964
Hamilton Correctional Facility,7019990168,Correctional Facility,Mental Health,15,AL,Proposed For Withdrawal,10/11/2012,,Marion County,,,-87.99263797,34.12504135
Holman Correctional Facility,7019990160,Correctional Facility,Mental Health,15,AL,Withdrawn,01/04/2008,06/27/2013,Escambia County,,,-87.44856804,31.13608455
Holman Correctional Facility,6019990185,Correctional Facility,Dental Health,0,AL,Withdrawn,03/07/2007,06/29/2012,Escambia County,,,-87.44856804,31.13608455
Julia Tutwiler Prison for Women,7012759773,Correctional Facility,Mental Health,12,AL,Designated,10/04/2012,,Elmore County,,,-86.193824,32.564263
Julia Tutwiler Prison for Women,1019588957,Correctional Facility,Primary Care,6,AL,Designated,10/28/2016,,Elmore County,,,-86.193803,32.564249
Julia Tutwiler Prison for Women,6016839976,Correctional Facility,Dental Health,12,AL,Designated,10/19/2018,,Elmore County,,,-86.193808,32.564258
Kilby Correctional Facility,7013501953,Correctional Facility,Mental Health,6,AL,Designated,12/28/2012,,Montgomery County,,,-86.102403,32.387997
Kilby Correctional Facility,6019288568,Correctional Facility,Dental Health,6,AL,Designated,08/31/2018,,Montgomery County,,,-86.102387,32.388124
Kilby Correctional Facility,1015074421,Correctional Facility,Primary Care,6,AL,Designated,10/28/2016,,Montgomery County,,,-86.102414,32.387993
Limestone Correctional Facility,7013044074,Correctional Facility,Mental Health,12,AL,Designated,01/04/2008,,Limestone County,,,-86.79505988,34.80605585
Limestone Correctional Facility,6011110770,Correctional Facility,Dental Health,3,AL,Designated,09/25/2018,,Limestone County,,,-86.79505988,34.80605585
Limestone Correctional Facility,1011083198,Correctional Facility,Primary Care,3,AL,Designated,12/16/2016,,Limestone County,,,-86.79505988,34.80605585
St. Clair Correctional Facility,7016886376,Correctional Facility,Mental Health,12,AL,Designated,08/31/2018,,St. Clair County,,,-86.384979,33.74561
St. Clair Correctional Facility,7019990158,Correctional Facility,Mental Health,12,AL,Proposed For Withdrawal,01/04/2008,,St. Clair County,,,-86.38575143,33.74309456
St. Clair Correctional Facility,6014172583,Correctional Facility,Dental Health,3,AL,Designated,08/31/2018,,St. Clair County,,,-86.384952,33.745615
St. Clair Correctional Facility,1013634996,Correctional Facility,Primary Care,9,AL,Designated,08/29/2018,,St. Clair County,,,-86.384957,33.745896
Staton Correctional Facility,7019990153,Correctional Facility,Mental Health,12,AL,Proposed For Withdrawal,01/04/2008,,Elmore County,,,-86.33810148,32.5781576
Staton Correctional Facility,1018690723,Correctional Facility,Primary Care,3,AL,Designated,09/23/2013,,Elmore County,,,-86.333113,32.577235
Ventress Correctional Facility,7012716194,Correctional Facility,Mental Health,12,AL,Designated,01/04/2008,,Barbour County,,,-85.492884,31.889285
Ventress Correctional Facility,1018734202,Correctional Facility,Primary Care,24,AL,Designated,10/28/2016,,Barbour County,,,-85.48990098,31.88520337
William E. Donaldson Correctional Facility,7014602649,Correctional Facility,Mental Health,6,AL,Designated,10/19/2018,,Jefferson County,,,-87.184785,33.514435
William E. Donaldson Correctional Facility,1017436202,Correctional Facility,Primary Care,3,AL,Designated,10/19/2018,,Jefferson County,,,-87.18154465,33.52430958
Arkansas Correctional Facility,7059990511,Correctional Facility,Mental Health,0,AR,Withdrawn,12/30/1986,10/02/1995,,,,-92.43888469,34.89992372
CF Cummins Unit,6058868234,Correctional Facility,Dental Health,6,AR,Designated,07/27/2009,,Lincoln County,,,-91.58385327,34.05336809
CF Delta Regional Correctional Unit,7053652141,Correctional Facility,Mental Health,12,AR,Designated,08/02/2018,,Chicot County,,,-91.41897777,33.51919911
CF East Arkansas Regional Unit,6058764587,Correctional Facility,Dental Health,12,AR,Designated,07/23/2018,,Lee County,,,-90.53430679,34.8298684
CF East Arkansas Regional Unit,1058038916,Correctional Facility,Primary Care,12,AR,Designated,07/18/2018,,Lee County,,,-90.5921435,34.86169538
CF East Arkansas Regional Unit at Brickeys,7057707272,Correctional Facility,Mental Health,15,AR,Designated,12/13/2006,,Lee County,,,-90.5921435,34.86169538
CF Grimes Correctional Unit,7059128405,Correctional Facility,Mental Health,6,AR,Designated,11/29/2006,,Jackson County,,,-91.18845157,35.6312051
CF Grimes Unit,1056099299,Correctional Facility,Primary Care,12,AR,Designated,07/23/2018,,Jackson County,,,-91.18845157,35.6312051
CF McPherson Correctional Unit,7057811431,Correctional Facility,Mental Health,6,AR,Designated,11/29/2006,,Jackson County,,,-91.18842537,35.63121558
CF Randall Williams Unit,1057573006,Correctional Facility,Primary Care,3,AR,Designated,07/23/2018,,Jefferson County,,,-92.07667349,34.22304853
CF Tucker Maximum,1053835784,Correctional Facility,Primary Care,3,AR,Designated,07/23/2018,,Jefferson County,,,-91.91384896,34.45071425
CF Tucker Maximum Security Unit,7055574628,Correctional Facility,Mental Health,21,AR,Designated,12/13/2006,,Jefferson County,,,-91.91384896,34.45071425
CF Tucker Prison Unit,7058269144,Correctional Facility,Mental Health,15,AR,Designated,12/12/2006,,Jefferson County,,,-91.91563494,34.45067552
CF Wrightsville Unit,6051799077,Correctional Facility,Dental Health,3,AR,Designated,07/23/2018,,Pulaski County,,,-92.2110932,34.60213746
CF Wrightsville Unit,7059301407,Correctional Facility,Mental Health,6,AR,Designated,11/29/2006,,Pulaski County,,,-92.2110932,34.60213746
CF-McPherson Correctional Unit/Newport,6058484000,Correctional Facility,Dental Health,3,AR,Designated,07/27/2009,,Jackson County,,,-91.18842537,35.63121558
CF-McPherson Unit,1053393542,Correctional Facility,Primary Care,3,AR,Designated,12/01/2017,,Jackson County,,,-91.26016769,35.6097764
Cummins Correctional Unit,1059990564,Correctional Facility,Primary Care,0,AR,Withdrawn,10/15/1999,11/03/2011,,,,-92.43888469,34.89992372
Cummins Prison,1059990538,Correctional Facility,Primary Care,0,AR,Withdrawn,05/02/1978,10/02/1995,,,,-92.43888469,34.89992372
Cummins Unit,1057111377,Correctional Facility,Primary Care,12,AR,Designated,07/06/2018,,Lincoln County,,,-91.57637451,34.060707
Cummins Unit CF,7054190450,Correctional Facility,Mental Health,21,AR,Designated,12/15/2006,,Lincoln County,,,-91.58319961,34.05355494
Delta Correctional Unit,1059990563,Correctional Facility,Primary Care,0,AR,Withdrawn,10/15/1999,11/03/2011,,,,-92.43888469,34.89992372
Diagnostic Correctional Unit - Pine Bluff,6059990524,Correctional Facility,Dental Health,12,AR,Withdrawn,07/27/2009,06/27/2013,Jefferson County,,,-92.08148107,34.22111655
East Arkansas Correctional Unit,1059990593,Correctional Facility,Primary Care,0,AR,Withdrawn,04/23/2004,11/03/2011,,,,-92.43888469,34.89992372
East Arkansas Regional Unit,10599905B2,Correctional Facility,Primary Care,3,AR,Proposed For Withdrawal,07/27/2009,,Lee County,,,-90.59353999,34.860345
Federal Correctional Complex - Forrest City,7059990540,Correctional Facility,Mental Health,21,AR,Proposed For Withdrawal,12/11/2007,,St. Francis County,,,-90.80495174,34.97937748
Federal Correctional Institution - Forrest City,6059990509,Correctional Facility,Dental Health,12,AR,Proposed For Withdrawal,07/01/2002,,St. Francis County,,,-90.80495174,34.97937748
Federal Correctional Institution - Forrest City,1059990581,Correctional Facility,Primary Care,12,AR,Proposed For Withdrawal,07/01/2002,,St. Francis County,,,-90.80495174,34.97937748
McPherson - Newport Complex-Grimes,10599905B9,Correctional Facility,Primary Care,3,AR,Withdrawn,09/01/2010,06/25/2014,Jackson County,,,-91.26016769,35.6097764
North Central Correctional Unit,7051103473,Correctional Facility,Mental Health,12,AR,Designated,11/29/2006,,Izard County,,,-92.15274747,36.16534836
North Central Correctional Unit,10599905B3,Correctional Facility,Primary Care,3,AR,Proposed For Withdrawal,07/27/2009,,Izard County,,,-92.15274747,36.16534836
Ouachita River CF,6054533935,Correctional Facility,Dental Health,6,AR,Designated,07/23/2018,,Hot Spring County,,,-92.83574215,34.34983061
Ouachita River Correction Facility,1058735854,Correctional Facility,Primary Care,3,AR,Designated,07/06/2018,,Hot Spring County,,,-92.83574215,34.34983061
Ouachita River Correctional Unit CF,7056314180,Correctional Facility,Mental Health,6,AR,Designated,12/15/2006,,Hot Spring County,,,-92.83574215,34.34983061
Pine Bluff Correctional Unit,6059990528,Correctional Facility,Dental Health,6,AR,Proposed For Withdrawal,10/26/2009,,Jefferson County,,,-92.08148107,34.22111655
Pine Bluff Correctional Unit,10599905B4,Correctional Facility,Primary Care,3,AR,Proposed For Withdrawal,07/27/2009,,Jefferson County,,,-92.08148107,34.22111655
Pine Bluff Unit,7052560584,Correctional Facility,Mental Health,15,AR,Designated,12/13/2006,,Jefferson County,,,-92.08148107,34.22111655
Randall Williams Correctional Facility,6059990525,Correctional Facility,Dental Health,12,AR,Proposed For Withdrawal,07/27/2009,,Jefferson County,,,-92.07667349,34.22304853
Randall Williams Unit,7059990543,Correctional Facility,Mental Health,12,AR,Proposed For Withdrawal,10/08/2009,,Jefferson County,,,-92.07667349,34.22304853
Tucker Prison,1059990513,Correctional Facility,Primary Care,18,AR,Withdrawn,05/02/1978,06/27/2013,Jefferson County,,,-91.91563494,34.45067552
Tucker Unit,1057958564,Correctional Facility,Primary Care,12,AR,Designated,07/06/2018,,Jefferson County,,,-91.91563494,34.45067552
Varner C.U.,1059990594,Correctional Facility,Primary Care,0,AR,Withdrawn,04/23/2004,11/03/2011,,,,-92.43888469,34.89992372
Varner CF,6055193810,Correctional Facility,Dental Health,6,AR,Designated,07/23/2018,,Lincoln County,,,-91.6141932,34.0436187
Varner Supermax Unit CF,7051075196,Correctional Facility,Mental Health,21,AR,Designated,11/29/2006,,Lincoln County,,,-91.6141932,34.0436187
Varner/Varner Supermax Unit,1057116252,Correctional Facility,Primary Care,15,AR,Designated,07/27/2009,,Lincoln County,,,-91.6141932,34.0436187
Wrightsville Prison,1059990537,Correctional Facility,Primary Care,0,AR,Withdrawn,02/05/1987,10/02/1995,,,,-92.43888469,34.89992372
Wrightsville Unit,1053951680,Correctional Facility,Primary Care,3,AR,Designated,07/06/2018,,Pulaski County,,,-92.2110932,34.60213746
Adobe Mountain School,10499904G5,Correctional Facility,Primary Care,0,AZ,Withdrawn,02/09/2006,06/29/2012,Maricopa County,,,-112.1200496,33.69977616
Arizona State Prison - Florence,7049990416,Correctional Facility,Mental Health,0,AZ,Withdrawn,03/22/2002,12/31/2007,,,,-111.664754,34.29301645
Arizona State Prison - Perryville,10499904P5,Correctional Facility,Primary Care,6,AZ,Proposed For Withdrawal,08/25/2009,,Maricopa County,,,-112.4441066,33.4684135
Arizona State Prison - Phoenix,10499904QR,Correctional Facility,Primary Care,3,AZ,Proposed For Withdrawal,12/07/2012,,Maricopa County,,,-112.0259025,33.45135352
Arizona State Prison - Safford,6049990450,Correctional Facility,Dental Health,15,AZ,Proposed For Withdrawal,03/22/2002,,Graham County,,,-109.5624755,32.83093555
Arizona State Prison - Safford,1042675669,Correctional Facility,Primary Care,18,AZ,Designated,03/22/2002,,Graham County,,,-109.5624755,32.83093555
Arizona State Prison - Tucson,6049990447,Correctional Facility,Dental Health,12,AZ,Proposed For Withdrawal,03/15/2002,,Pima County,,,-110.8580134,32.07532477
Arizona State Prison - Winslow,6049990449,Correctional Facility,Dental Health,18,AZ,Proposed For Withdrawal,03/22/2002,,Navajo County,,,-110.7146211,34.98507126
Arizona State Prison Complex - Florence,6049990451,Correctional Facility,Dental Health,12,AZ,Proposed For Withdrawal,12/31/2012,,Pinal County,,,-111.3720942,33.03117631
Arizona State Prison Complex - Lewis,6049990444,Correctional Facility,Dental Health,12,AZ,Proposed For Withdrawal,12/31/2012,,Maricopa County,,,-112.650096,33.19991481
Arizona State Prison Complex-Perryville,6049990445,Correctional Facility,Dental Health,3,AZ,Withdrawn,03/13/2002,06/25/2014,Maricopa County,,,-112.4441066,33.4684135
Arizona State Prison-Florence,7045987723,Correctional Facility,Mental Health,15,AZ,Designated,07/26/2012,,Pinal County,,,-111.3720942,33.03117631
Arizona State Prison-Lewis,7043795433,Correctional Facility,Mental Health,6,AZ,Designated,07/26/2012,,Maricopa County,,,-112.5840653,33.3694249
Arizona State Prison-Winslow,1045607033,Correctional Facility,Primary Care,12,AZ,Designated,03/22/2002,,Navajo County,,,-110.7146211,34.98507126
Arizona State Prison-Yuma,1048926116,Correctional Facility,Primary Care,15,AZ,Designated,02/05/2002,,Yuma County,,,-114.6481878,32.4958092
CF-Arizona State Prison - Florence,1049185996,Correctional Facility,Primary Care,12,AZ,Designated,06/19/2012,,Pinal County,,,-111.3720942,33.03117631
