HPSA_Name,HPSA_ID,Designation_Type,HPSA_Discipline_Class,HPSA_Score,Primary_State_Abbreviation,HPSA_Status,HPSA_Designation_Date,Withdrawn_Date,County_Name,HPSA Population Type,pct_of_pop_below_poverty,Longitude,Latitude
Iliuliuk Family Health Center,6029990213,Federally Qualified Health Center,Dental Health,19,AK,Designated,6/23/2003,,Aleutians West Census Area,,,-166.538691,53.872308
Aleutians East Borough,6025413820,Geographic HPSA,Dental Health,14,AK,Designated,4/10/2001,,,Geographic Population,16.3,,
Camai Community Health Center,6029990222,Federally Qualified Health Center,Dental Health,0,AK,Designated,6/23/2003,,Bristol Bay Borough,,,-157.0063805,58.732035
Chief Andrew Issac Health Center,6029990249,Native American/Tribal Facility/Population,Dental Health,19,AK,Designated,10/26/2002,,Fairbanks North Star Borough,,,-147.7367016,64.83053855
Tanana Tribal Council,602999020D,Native American/Tribal Facility/Population,Dental Health,20,AK,Designated,10/26/2002,,Fairbanks North Star Borough,,,-147.7074724,64.84412145
Spring Creek Correctional Center,6028112284,Correctional Facility,Dental Health,6,AK,Designated,10/14/2016,,Kenai Peninsula Borough,,,-149.3478383,60.093576
CF-Fairbanks Correctional Center,6026885134,Correctional Facility,Dental Health,12,AK,Withdrawn,10/20/2016,6/26/2017,Fairbanks North Star Borough,,,-147.758474,64.833532
Copper River Native Association,602999024E,Alaskan Native Tribal Population,Dental Health,18,AK,Designated,1/22/2015,,Valdez-Cordova Census Area,,,-145.3232899,61.97836
City of Seward Administration,602999020F,Federally Qualified Health Center,Dental Health,23,AK,Designated,11/1/2013,,Kenai Peninsula Borough,,,-149.43942,60.10285246
Denali Borough,6021823424,Geographic HPSA,Dental Health,16,AK,Designated,4/20/2001,,,Geographic Population,12.7,,
Skagway Municipality,6021043175,Geographic HPSA,Dental Health,12,AK,Designated,5/10/2013,,,Geographic Population,4.5,,
Upper Matanuska-Susitna Borough,6023973294,Geographic HPSA,Dental Health,16,AK,Designated,5/23/2017,,,Geographic Population,16.9,,
Valdez-Cordova Area,602261,Geographic HPSA,Dental Health,0,AK,Withdrawn,7/28/1978,9/4/1985,,Geographic Population,0,,
Searhc\Mt. Edgecumbe Hospital,6029990247,Alaskan Native Tribal Population,Dental Health,16,AK,Designated,10/26/2002,,Sitka Borough,,,-135.3547936,57.04957761
Norton Sound Health Corporation-Outpatient Primary Care/Dt Tribal C,602999020A,Alaskan Native Tribal Population,Dental Health,17,AK,Designated,5/17/2013,,Nome Census Area,,,-165.4067825,64.499244
CF-Anchorage Correctional Complex,6023205491,Correctional Facility,Dental Health,6,AK,Designated,10/14/2016,,Anchorage Borough,,,-149.85807,61.218535
Native Village of Eyak,6029990241,Federally Qualified Health Center,Dental Health,20,AK,Designated,9/30/2005,,Valdez-Cordova Census Area,,,-145.7641649,60.54297766
Mat-Su Health Services,6029990242,Federally Qualified Health Center,Dental Health,21,AK,Designated,9/30/2005,,Matanuska-Susitna Borough,,,-149.4848025,61.5994105
Ketchikan Indian Corporation,6029990246,Native American/Tribal Facility/Population,Dental Health,16,AK,Designated,10/26/2002,,Ketchikan Gateway Borough,,,-131.6845742,55.35241317
