HPSA_Name,HPSA_ID,Designation_Type,HPSA_Discipline_Class,HPSA_Score,Primary_State_Abbreviation,HPSA_Status,HPSA_Designation_Date,Withdrawn_Date,County_Name,HPSA Population Type,pct_of_pop_below_poverty,Longitude,Latitude
Roosevelt City,6019990102,Geographic HPSA,Dental Health,0,AL,Withdrawn,05/31/1978,10/02/1995,,Geographic Population,20,,
Altheimer,6059990504,Geographic HPSA,Dental Health,0,AR,Withdrawn,08/08/1989,11/03/2011,,Geographic Population,,,
Chicot County,6059339502,Geographic HPSA,Dental Health,17,AR,Designated,07/19/1978,,,Geographic Population,32.3,,
Clarendon,6059990503,Geographic HPSA,Dental Health,0,AR,Withdrawn,06/26/1981,03/26/1992,,Geographic Population,32.9,,
Clay,605021,Geographic HPSA,Dental Health,0,AR,Withdrawn,11/01/1994,10/02/1995,,Geographic Population,22,,
College Station Service Area,6059990506,Geographic HPSA,Dental Health,0,AR,Withdrawn,03/31/1999,11/03/2011,,Geographic Population,,,
Franklin,605047,Geographic HPSA,Dental Health,0,AR,Withdrawn,09/12/1979,05/19/1981,,Geographic Population,18,,
Fulton,605049,Geographic HPSA,Dental Health,0,AR,Withdrawn,05/16/1979,11/03/2011,,Geographic Population,,,
Hempstead,605057,Geographic HPSA,Dental Health,0,AR,Withdrawn,07/19/1978,05/19/1981,,Geographic Population,19,,
Lafayette County,6051078063,Geographic HPSA,Dental Health,15,AR,Designated,07/19/1978,,,Geographic Population,25.9,,
Lawrence,605075,Geographic HPSA,Dental Health,0,AR,Withdrawn,07/21/1978,05/19/1981,,Geographic Population,22,,
Lee County,6052611664,Geographic HPSA,Dental Health,15,AR,Designated,03/04/1991,,,Geographic Population,29.8,,
Lincoln,605079,Geographic HPSA,Dental Health,0,AR,Withdrawn,07/19/1978,11/03/2011,,Geographic Population,,,
Marion,605089,Geographic HPSA,Dental Health,0,AR,Withdrawn,12/20/1979,10/02/1995,,Geographic Population,23,,
Marked Tree Service Area,6059990507,Geographic HPSA,Dental Health,0,AR,Withdrawn,10/14/1999,11/03/2011,,Geographic Population,,,
Mississippi,605093,Geographic HPSA,Dental Health,0,AR,Withdrawn,07/21/1978,10/02/1980,,Geographic Population,26,,
Monroe,605095,Geographic HPSA,Dental Health,0,AR,Withdrawn,09/27/1978,11/03/2011,,Geographic Population,,,
Nevada,605099,Geographic HPSA,Dental Health,0,AR,Withdrawn,07/19/1978,10/02/1995,,Geographic Population,22,,
Newton,605101,Geographic HPSA,Dental Health,0,AR,Withdrawn,08/13/1979,11/03/2011,,Geographic Population,,,
Parkdale,6059990502,Geographic HPSA,Dental Health,0,AR,Withdrawn,05/19/1981,12/12/2006,,Geographic Population,38,,
Perry County,6055828808,Geographic HPSA,Dental Health,11,AR,Designated,08/13/1979,,,Geographic Population,13.4,,
Phillips County,6052066302,Geographic HPSA,Dental Health,12,AR,Designated,03/26/1992,,,Geographic Population,34,,
Poinsett,605111,Geographic HPSA,Dental Health,0,AR,Withdrawn,07/21/1978,05/08/1987,,Geographic Population,23,,
Polk,605113,Geographic HPSA,Dental Health,0,AR,Withdrawn,03/25/2003,01/05/2010,,Geographic Population,20.5,,
Prairie County,6054753913,Geographic HPSA,Dental Health,15,AR,Designated,11/19/2013,,,Geographic Population,20.2,,
Randolph,605121,Geographic HPSA,Dental Health,0,AR,Withdrawn,07/21/1978,05/19/1981,,Geographic Population,19,,
Rector Service Area,6059990501,Geographic HPSA,Dental Health,0,AR,Withdrawn,01/05/1980,10/02/1995,,Geographic Population,36,,
Scott,605127,Geographic HPSA,Dental Health,0,AR,Withdrawn,09/12/1979,10/02/1995,,Geographic Population,23,,
Ajo Service Area,6049990454,Geographic HPSA,Dental Health,0,AZ,Withdrawn,03/28/2002,06/29/2012,,Geographic Population,,,
Apache,6049990423,Geographic HPSA,Dental Health,0,AZ,Withdrawn,08/12/1993,09/20/1999,,Geographic Population,52.8,,
Arivaca,6049990424,Geographic HPSA,Dental Health,0,AZ,Withdrawn,08/12/1993,09/20/1999,,Geographic Population,16,,
Arivaca Service Area,6049990456,Geographic HPSA,Dental Health,11,AZ,Withdrawn,08/09/2002,07/02/2018,,Geographic Population,13.8,,
Avondale/Tolleson Service Area,604999040Y,Geographic HPSA,Dental Health,4,AZ,Withdrawn,12/27/2013,07/02/2018,,Geographic Population,,,
Bagdad,60499904EA,Geographic HPSA,Dental Health,12,AZ,Withdrawn,03/25/2010,07/02/2018,,Geographic Population,,,
Benson,6047469262,Geographic HPSA,Dental Health,7,AZ,Designated,09/14/2017,,,Geographic Population,14,,
Bisbee,60499904C5,Geographic HPSA,Dental Health,13,AZ,Withdrawn,09/03/2009,07/02/2018,,Geographic Population,12,,
Bisbee,6042427272,Geographic HPSA,Dental Health,17,AZ,Designated,09/14/2017,,,Geographic Population,20,,
Black Canyon City,6046255802,Geographic HPSA,Dental Health,14,AZ,Designated,10/27/2017,,,Geographic Population,15.5,,
Bonita/Klondyke,60499904D7,Geographic HPSA,Dental Health,7,AZ,Withdrawn,10/09/2009,06/26/2017,,Geographic Population,12.7,,
Buckeye,60499904F9,Geographic HPSA,Dental Health,11,AZ,Withdrawn,02/15/2011,07/02/2018,,Geographic Population,,,
Casa Grande,6049990443,Geographic HPSA,Dental Health,0,AZ,Withdrawn,11/05/2001,05/26/2006,,Geographic Population,23.9,,
Dateland,60499904FG,Geographic HPSA,Dental Health,15,AZ,Withdrawn,11/23/2011,07/02/2018,,Geographic Population,,,
Duncan,60499904F1,Geographic HPSA,Dental Health,12,AZ,Withdrawn,08/03/2010,07/02/2018,,Geographic Population,,,
El Mirage/Luke,604999040J,Geographic HPSA,Dental Health,10,AZ,Withdrawn,12/11/2013,07/02/2018,,Geographic Population,,,
El Rio,6049990401,Geographic HPSA,Dental Health,0,AZ,Withdrawn,07/21/1978,01/26/1981,,Geographic Population,0,,
Elfrida,6049990419,Geographic HPSA,Dental Health,18,AZ,Withdrawn,05/19/2014,07/02/2018,,Geographic Population,,,
Flagstaff Service Area,60499904B1,Geographic HPSA,Dental Health,12,AZ,Withdrawn,10/31/2008,06/27/2013,,Geographic Population,,,
Florence,6049990425,Geographic HPSA,Dental Health,13,AZ,Withdrawn,08/12/1993,07/02/2018,,Geographic Population,10,,
Fort McDowell Mohave-Apache Indian Community,60499904EP,Geographic HPSA,Dental Health,4,AZ,Withdrawn,06/18/2010,07/02/2018,,Geographic Population,,,
Fortuna Foothills,6041045002,Geographic HPSA,Dental Health,15,AZ,Designated,09/14/2017,,,Geographic Population,11.6,,
Fredonia,6049990461,Geographic HPSA,Dental Health,12,AZ,Withdrawn,12/23/2013,07/02/2018,,Geographic Population,,,
Gila,604007,Geographic HPSA,Dental Health,0,AZ,Withdrawn,05/11/1978,10/02/1995,,Geographic Population,0,,
Gila Bend,60499904EC,Geographic HPSA,Dental Health,14,AZ,Withdrawn,04/12/2010,07/02/2018,,Geographic Population,,,
Gila-Central-Globe,604999040W,Geographic HPSA,Dental Health,17,AZ,Withdrawn,12/24/2013,07/02/2018,,Geographic Population,,,
Green Valley,604999040X,Geographic HPSA,Dental Health,9,AZ,Withdrawn,12/26/2013,07/02/2018,,Geographic Population,5.8,,
Greenlee,604011,Geographic HPSA,Dental Health,0,AZ,Withdrawn,04/22/2005,06/29/2012,,Geographic Population,,,
Heber-Overgaard,60499904E9,Geographic HPSA,Dental Health,15,AZ,Withdrawn,03/09/2010,07/02/2018,,Geographic Population,,,
Hopi Indian Reservation,6049990409,Geographic HPSA,Dental Health,0,AZ,Withdrawn,05/11/1978,10/02/1995,,Geographic Population,0,,
Hualapai Tribe,60499904EO,Geographic HPSA,Dental Health,18,AZ,Withdrawn,06/18/2010,07/02/2018,,Geographic Population,,,
Kayenta,6049990402,Geographic HPSA,Dental Health,0,AZ,Withdrawn,02/22/1979,10/02/1995,,Geographic Population,0,,
La Paz,604012,Geographic HPSA,Dental Health,0,AZ,Withdrawn,08/12/1993,03/26/2010,,Geographic Population,,,
Low Income-Tucson/South,6049990441,Geographic HPSA,Dental Health,0,AZ,Withdrawn,04/13/2000,07/31/2007,,Geographic Population,25.6,,
Marana,6049990464,Geographic HPSA,Dental Health,0,AZ,Withdrawn,09/23/2002,09/15/2011,,Geographic Population,,,
Marana,6049990404,Geographic HPSA,Dental Health,6,AZ,Withdrawn,05/11/1978,06/27/2013,,Geographic Population,,,
Miami-Tonto,6049990422,Geographic HPSA,Dental Health,0,AZ,Withdrawn,08/12/1993,09/20/1999,,Geographic Population,14.5,,
Morenci,60499904D1,Geographic HPSA,Dental Health,16,AZ,Withdrawn,09/09/2009,06/26/2017,,Geographic Population,7.4,,
Morenci,6043138250,Geographic HPSA,Dental Health,14,AZ,Designated,06/12/2017,,,Geographic Population,14.6,,
Navajo East,6049990417,Geographic HPSA,Dental Health,0,AZ,Withdrawn,08/12/1993,06/29/2012,,Geographic Population,,,
Page/Tuba City,6049990466,Geographic HPSA,Dental Health,0,AZ,Withdrawn,11/07/2002,06/29/2012,,Geographic Population,,,
Parker,60499904ED,Geographic HPSA,Dental Health,18,AZ,Withdrawn,05/13/2010,07/02/2018,,Geographic Population,,,
Parker,6047078692,Geographic HPSA,Dental Health,13,AZ,Designated,12/22/2017,,,Geographic Population,12.3,,
Patagonia,60499904FP,Geographic HPSA,Dental Health,12,AZ,Withdrawn,05/15/2012,06/26/2017,,Geographic Population,,,
Picture Rocks,6042042503,Geographic HPSA,Dental Health,10,AZ,Designated,10/16/2017,,,Geographic Population,13.8,,
Pima Service Area,60499904D8,Geographic HPSA,Dental Health,15,AZ,Withdrawn,10/09/2009,06/26/2017,,Geographic Population,22.3,,
Pinal,604021,Geographic HPSA,Dental Health,0,AZ,Withdrawn,05/11/1978,07/28/1981,,Geographic Population,18,,
Quartzsite,60499904EB,Geographic HPSA,Dental Health,16,AZ,Withdrawn,03/26/2010,07/02/2018,,Geographic Population,,,
Quartzsite,6046655552,Geographic HPSA,Dental Health,17,AZ,Designated,12/01/2017,,,Geographic Population,15.8,,
Rio Rico,6048371321,Geographic HPSA,Dental Health,15,AZ,Designated,09/14/2017,,,Geographic Population,14.8,,
Round Valley,60499904FT,Geographic HPSA,Dental Health,12,AZ,Withdrawn,05/16/2012,07/02/2018,,Geographic Population,,,
Saddlebrooke,6045869627,Geographic HPSA,Dental Health,10,AZ,Designated,10/27/2017,,,Geographic Population,12.7,,
Salt River Pima-Maricopa Indian Community,60499904FB,Geographic HPSA,Dental Health,17,AZ,Withdrawn,04/20/2011,07/02/2018,,Geographic Population,,,
San Luis,6047216245,Geographic HPSA,Dental Health,19,AZ,Designated,06/12/2017,,,Geographic Population,29.3,,
San Manuel,6049990426,Geographic HPSA,Dental Health,15,AZ,Withdrawn,08/12/1993,07/02/2018,,Geographic Population,10.7,,
Santa Cruz,604023,Geographic HPSA,Dental Health,0,AZ,Withdrawn,04/18/1978,05/15/2012,,Geographic Population,,,
Sedona,60499904FC,Geographic HPSA,Dental Health,14,AZ,Withdrawn,04/21/2011,07/02/2018,,Geographic Population,,,
Seligman,6049990406,Geographic HPSA,Dental Health,0,AZ,Withdrawn,05/16/1980,10/02/1995,,Geographic Population,0,,
Sierra Vista Service Area,604999040Z,Geographic HPSA,Dental Health,12,AZ,Withdrawn,12/27/2013,07/02/2018,,Geographic Population,,,
Somerton,6049992504,Geographic HPSA,Dental Health,21,AZ,Designated,09/14/2017,,,Geographic Population,32.5,,
South Central Apache,6049990414,Geographic HPSA,Dental Health,0,AZ,Withdrawn,05/11/1978,10/02/1995,,Geographic Population,0,,
South Phoenix,6049990407,Geographic HPSA,Dental Health,0,AZ,Withdrawn,05/11/1978,10/02/1995,,Geographic Population,0,,
Springerville/Eager,6045827934,Geographic HPSA,Dental Health,11,AZ,Designated,10/13/2017,,,Geographic Population,19.6,,
Surprise North and Wickenburg,6042023339,Geographic HPSA,Dental Health,6,AZ,Designated,11/27/2017,,,Geographic Population,15.2,,
Sweetwater,6049990418,Geographic HPSA,Dental Health,0,AZ,Withdrawn,08/12/1993,09/20/1999,,Geographic Population,65.9,,
Tanque Verde,60499904C9,Geographic HPSA,Dental Health,6,AZ,Withdrawn,09/09/2009,06/27/2013,,Geographic Population,,,
Tanque Verde,6042457420,Geographic HPSA,Dental Health,10,AZ,Designated,10/16/2017,,,Geographic Population,5.6,,
Tuba City,6049990420,Geographic HPSA,Dental Health,0,AZ,Withdrawn,08/12/1993,09/20/1999,,Geographic Population,40,,
Tubac Service Area,60499904FR,Geographic HPSA,Dental Health,8,AZ,Withdrawn,05/15/2012,06/26/2017,,Geographic Population,,,
Tucson South East,6044870264,Geographic HPSA,Dental Health,10,AZ,Designated,11/24/2017,,,Geographic Population,6,,
Tucson-West,604999040S,Geographic HPSA,Dental Health,11,AZ,Withdrawn,12/20/2013,07/02/2018,,Geographic Population,,,
Vail,6045918679,Geographic HPSA,Dental Health,4,AZ,Designated,10/27/2017,,,Geographic Population,5.7,,
Wellton,6049990427,Geographic HPSA,Dental Health,14,AZ,Withdrawn,08/12/1993,07/02/2018,,Geographic Population,19.9,,
Wickenburg Service Area,60499904FU,Geographic HPSA,Dental Health,8,AZ,Withdrawn,05/16/2012,07/02/2018,,Geographic Population,,,
Willcox and Bowie,6043175176,Geographic HPSA,Dental Health,15,AZ,Designated,09/14/2017,,,Geographic Population,13.2,,
Williams,6049990421,Geographic HPSA,Dental Health,15,AZ,Withdrawn,08/12/1993,07/02/2018,,Geographic Population,17,,
Arvin-Lamont(MSSA 61),6069990679,Geographic HPSA,Dental Health,0,CA,Withdrawn,07/27/1993,08/29/2006,,Geographic Population,44.5,,
Avalon/Goodyear/Main,6069990681,Geographic HPSA,Dental Health,0,CA,Withdrawn,07/27/1993,09/20/1999,,Geographic Population,38,,
Brawley,6069990649,Geographic HPSA,Dental Health,0,CA,Withdrawn,08/16/1984,10/02/1995,,Geographic Population,0,,
Brawley (MSSA 50),60699906A7,Geographic HPSA,Dental Health,0,CA,Withdrawn,02/25/2003,12/15/2006,,Geographic Population,25.7,,
Brawley-Calipatria,6069990688,Geographic HPSA,Dental Health,0,CA,Withdrawn,07/29/1994,02/20/2002,,Geographic Population,23,,
Castella (MSSA 187),606999061G,Geographic HPSA,Dental Health,0,CA,Withdrawn,08/10/2000,05/18/2005,,Geographic Population,19.3,,
Castroville/Marina (MSSA 108),60699906A5,Geographic HPSA,Dental Health,0,CA,Withdrawn,05/21/2003,02/25/2008,,Geographic Population,16.1,,
Chowchilla Service Area (MSSA 79.2),60699906A2,Geographic HPSA,Dental Health,0,CA,Withdrawn,03/14/2003,02/25/2008,,Geographic Population,30,,
Chuckwalla/Desert Center/Eagle Mt,6069990671,Geographic HPSA,Dental Health,0,CA,Withdrawn,07/27/1993,09/20/1999,,Geographic Population,33,,
Coastal/Big Sur/Lucial,6069990668,Geographic HPSA,Dental Health,0,CA,Withdrawn,07/27/1993,09/20/1999,,Geographic Population,11.2,,
Coulterville (MSSA 84),606999066A,Geographic HPSA,Dental Health,0,CA,Withdrawn,10/26/2001,11/03/2011,,Geographic Population,,,
Covelo,606999060S,Geographic HPSA,Dental Health,0,CA,Withdrawn,06/30/1997,11/03/2011,,Geographic Population,,,
Dominguez/West Compton/Willowbrook,6069990663,Geographic HPSA,Dental Health,0,CA,Withdrawn,07/27/1993,09/20/1999,,Geographic Population,20.1,,
East Compton,6069990664,Geographic HPSA,Dental Health,0,CA,Withdrawn,07/27/1993,09/20/1999,,Geographic Population,26.2,,
East Imperial - MSSA 47,6069990658,Geographic HPSA,Dental Health,0,CA,Withdrawn,07/27/1993,11/03/2011,,Geographic Population,,,
East Palo Alto,6069990616,Geographic HPSA,Dental Health,0,CA,Withdrawn,07/19/1982,09/15/2000,,Geographic Population,17.5,,
East Salinas/North Central Salinas,6069990669,Geographic HPSA,Dental Health,0,CA,Withdrawn,07/27/1993,06/30/2000,,Geographic Population,22.1,,
El Centro,6069990687,Geographic HPSA,Dental Health,0,CA,Withdrawn,07/29/1994,09/15/2000,,Geographic Population,20.6,,
El Sereno/Highland Park/Lincoln Heights/MT Wash,6069990633,Geographic HPSA,Dental Health,0,CA,Withdrawn,09/27/1978,09/20/1999,,Geographic Population,21.3,,
Exposition Park/South Vermont,6069990662,Geographic HPSA,Dental Health,0,CA,Withdrawn,07/27/1993,09/20/1999,,Geographic Population,30.9,,
Figueroa/Firestone/Green Meadows/Watts,6069990665,Geographic HPSA,Dental Health,0,CA,Withdrawn,07/27/1993,05/31/2000,,Geographic Population,46.6,,
French Gulch (MSSA 186),606999061F,Geographic HPSA,Dental Health,0,CA,Withdrawn,08/10/2000,05/18/2005,,Geographic Population,13.4,,
Garberville/Redway (MSSA 44),606999061N,Geographic HPSA,Dental Health,0,CA,Withdrawn,11/24/2000,05/02/2005,,Geographic Population,22.1,,
Georgetown (MSSA 22),606999064Q,Geographic HPSA,Dental Health,0,CA,Withdrawn,08/12/2004,06/29/2012,,Geographic Population,,,
Glenn,606021,Geographic HPSA,Dental Health,0,CA,Withdrawn,08/08/2006,06/29/2012,,Geographic Population,,,
Greenfield/Soledad/Gonzales,6069990648,Geographic HPSA,Dental Health,0,CA,Withdrawn,12/29/1982,11/03/2011,,Geographic Population,,,
Guerneville (MSSA 207),606999061Q,Geographic HPSA,Dental Health,0,CA,Withdrawn,02/28/2001,11/03/2011,,Geographic Population,,,
Happy Camp,606999060K,Geographic HPSA,Dental Health,0,CA,Withdrawn,04/30/1996,02/20/2002,,Geographic Population,13.1,,
Happy Camp (MSSA 193),606999062J,Geographic HPSA,Dental Health,0,CA,Withdrawn,11/04/2002,11/03/2011,,Geographic Population,,,
Hayfork/Forest Glen/Peanut (MSSA 225),606999061D,Geographic HPSA,Dental Health,0,CA,Withdrawn,06/30/2000,11/03/2011,,Geographic Population,,,
Honey Lake,6069990661,Geographic HPSA,Dental Health,0,CA,Withdrawn,07/27/1993,07/25/1997,,Geographic Population,8.8,,
Huron/Five Points,6069990647,Geographic HPSA,Dental Health,0,CA,Withdrawn,09/01/1978,06/29/2012,,Geographic Population,,,
King City,606999060R,Geographic HPSA,Dental Health,0,CA,Withdrawn,05/09/1997,11/03/2011,,Geographic Population,,,
King City/San Lucas (MSSA 105),60699906E5,Geographic HPSA,Dental Health,0,CA,Withdrawn,09/16/2004,11/26/2008,,Geographic Population,20.3,,
Laytonville/Leggett,6069990699,Geographic HPSA,Dental Health,0,CA,Withdrawn,03/17/1995,10/26/2000,,Geographic Population,18.1,,
Loma Prieta School District,6069990618,Geographic HPSA,Dental Health,0,CA,Withdrawn,08/28/1978,03/26/1985,,Geographic Population,0,,
Lone Pine,6069990659,Geographic HPSA,Dental Health,0,CA,Withdrawn,07/27/1993,09/20/1999,,Geographic Population,12.3,,
Lynwood/Paramount,6069990666,Geographic HPSA,Dental Health,0,CA,Withdrawn,07/27/1993,09/20/1999,,Geographic Population,19.9,,
Maple/Santa Barbara,6069990601,Geographic HPSA,Dental Health,0,CA,Withdrawn,01/25/1979,10/02/1995,,Geographic Population,0,,
McFarland/Delano,606999060N,Geographic HPSA,Dental Health,0,CA,Withdrawn,09/04/1996,09/15/2000,,Geographic Population,25.7,,
Meridian-Robbins,6069990674,Geographic HPSA,Dental Health,0,CA,Withdrawn,07/27/1993,09/20/1999,,Geographic Population,19.3,,
MSSA 148 (Wrightwood),606999069J,Geographic HPSA,Dental Health,0,CA,Withdrawn,08/21/2006,06/29/2012,,Geographic Population,,,
MSSA 150 (Baker),606999064Y,Geographic HPSA,Dental Health,0,CA,Withdrawn,08/29/2006,06/29/2012,,Geographic Population,,,
MSSA 151G Rialto Northeast/San Bernadino Northwest,60699906M8,Geographic HPSA,Dental Health,18,CA,Withdrawn,08/18/2008,06/27/2013,,Geographic Population,,,
MSSA 229 Woodlake/Three Rivers,60699906N8,Geographic HPSA,Dental Health,10,CA,Withdrawn,11/26/2008,06/27/2013,,Geographic Population,,,
MSSA 24 (Douglas City),606999061C,Geographic HPSA,Dental Health,0,CA,Withdrawn,06/30/2000,03/30/2007,,Geographic Population,17,,
MSSA 247/Browns Valley,6068405028,Geographic HPSA,Dental Health,19,CA,Designated,07/01/2010,,,Geographic Population,25,,
MSSA 38 (Willow Creek/Hoopa),606999065A,Geographic HPSA,Dental Health,0,CA,Withdrawn,12/12/2006,06/29/2012,,Geographic Population,,,
MSSA 49 (Calexico/Octotillo),6069990657,Geographic HPSA,Dental Health,0,CA,Withdrawn,07/27/1993,06/29/2012,,Geographic Population,,,
MSSA 59/Buttonwillow,6069990678,Geographic HPSA,Dental Health,9,CA,Withdrawn,03/19/2009,06/27/2013,,Geographic Population,,,
MSSA 66A (Bakersfield Northeast),606999064P,Geographic HPSA,Dental Health,0,CA,Withdrawn,08/09/2004,06/29/2012,,Geographic Population,,,
MSSA 73/100 - Bieber/Adin,6065198194,Geographic HPSA,Dental Health,13,CA,Designated,04/28/2006,,,Geographic Population,16.2,,
Newhall,6069990603,Geographic HPSA,Dental Health,0,CA,Withdrawn,05/30/1979,03/19/1983,,Geographic Population,0,,
Oxnard Central (MSSA 241B),606999062G,Geographic HPSA,Dental Health,0,CA,Withdrawn,08/28/2002,04/10/2007,,Geographic Population,17.4,,
Oxnard West/Ventura South (MSSA 241C),606999062E,Geographic HPSA,Dental Health,0,CA,Withdrawn,08/27/2002,12/28/2006,,Geographic Population,9.4,,
Pajaro,6069990670,Geographic HPSA,Dental Health,0,CA,Withdrawn,07/27/1993,09/20/1999,,Geographic Population,9.6,,
Pauma Val./Val. Center Div.,6069990611,Geographic HPSA,Dental Health,0,CA,Withdrawn,01/12/1981,10/02/1995,,Geographic Population,0,,
Porterville,6069990685,Geographic HPSA,Dental Health,0,CA,Withdrawn,07/27/1994,07/22/1999,,Geographic Population,24.5,,
Potrero Hill/South Bayshore,6069990646,Geographic HPSA,Dental Health,0,CA,Withdrawn,04/06/1978,10/02/1995,,Geographic Population,0,,
San Benito,606069,Geographic HPSA,Dental Health,0,CA,Withdrawn,05/30/1978,05/20/1985,,Geographic Population,12,,
Shafter (MSSA 58.1),606999064M,Geographic HPSA,Dental Health,0,CA,Withdrawn,08/05/2004,02/27/2009,,Geographic Population,31.1,,
Shafter/Wasco,606999060M,Geographic HPSA,Dental Health,0,CA,Withdrawn,09/04/1996,09/15/2000,,Geographic Population,26.7,,
Southeast Kern/Boron/California City,6069990660,Geographic HPSA,Dental Health,0,CA,Withdrawn,07/27/1993,09/20/1999,,Geographic Population,10.1,,
Southern Inyo County (MSSAs 55 and 56),60699906K8,Geographic HPSA,Dental Health,0,CA,Withdrawn,11/29/2007,06/29/2012,,Geographic Population,,,
Southwest Berkeley,6069990654,Geographic HPSA,Dental Health,0,CA,Withdrawn,03/26/1985,10/02/1995,,Geographic Population,0,,
Stockton South and Southeast (MSSA 169B),60699906IV,Geographic HPSA,Dental Health,0,CA,Withdrawn,02/25/2002,06/29/2012,,Geographic Population,,,
Tipton/Earliment,6069990602,Geographic HPSA,Dental Health,0,CA,Withdrawn,07/24/1979,04/28/2004,,Geographic Population,41.5,,
Watsonville,6069990672,Geographic HPSA,Dental Health,0,CA,Withdrawn,07/27/1993,09/20/1999,,Geographic Population,12.9,,
West Imperial,6069990689,Geographic HPSA,Dental Health,0,CA,Withdrawn,07/29/1994,09/15/2000,,Geographic Population,17.8,,
West Modesto,6069990604,Geographic HPSA,Dental Health,0,CA,Withdrawn,06/29/1979,03/26/1985,,Geographic Population,0,,
West Sierra (MSSA 192),606999060U,Geographic HPSA,Dental Health,0,CA,Withdrawn,03/17/1999,03/30/2010,,Geographic Population,,,
Avondale,6089990801,Geographic HPSA,Dental Health,0,CO,Withdrawn,10/06/1978,12/31/1996,,Geographic Population,24.3,,
Baca,608009,Geographic HPSA,Dental Health,0,CO,Withdrawn,03/17/1980,07/06/1982,,Geographic Population,20,,
Bent County,6081448109,Geographic HPSA,Dental Health,10,CO,Designated,05/20/2004,,,Geographic Population,18.3,,
Cheyenne County,6082293185,Geographic HPSA,Dental Health,15,CO,Designated,09/01/2016,,,Geographic Population,8.6,,
