HPSA_Name,HPSA_ID,Designation_Type,HPSA_Discipline_Class,HPSA_Score,Primary_State_Abbreviation,HPSA_Status,HPSA_Designation_Date,Withdrawn_Date,County_Name,HPSA Population Type,%of_Population_Below_100%_Poverty,Longitude,Latitude
Cleveland County,1054702471,Geographic HPSA,Primary Care,11,AR,Designated,12/04/2015,,,Geographic Population,18.6,,
College Station,1059990525,Geographic HPSA,Primary Care,0,AR,Withdrawn,03/14/1984,06/29/2012,,Geographic Population,,,
Conway,105029,Geographic HPSA,Primary Care,0,AR,Withdrawn,06/26/1984,05/12/1988,,Geographic Population,17,,
Crawford,105033,Geographic HPSA,Primary Care,0,AR,Withdrawn,09/12/1979,05/12/1988,,Geographic Population,16,,
Crittenden,105035,Geographic HPSA,Primary Care,0,AR,Withdrawn,06/23/1995,02/20/2002,,Geographic Population,24.8,,
Cross,105037,Geographic HPSA,Primary Care,0,AR,Withdrawn,06/24/1997,11/03/2011,,Geographic Population,,,
Dallas,105039,Geographic HPSA,Primary Care,0,AR,Withdrawn,06/25/2007,05/10/2012,,Geographic Population,,,
Dermott/McGehee,1059990552,Geographic HPSA,Primary Care,0,AR,Withdrawn,10/26/1993,10/09/1997,,Geographic Population,37.4,,
Desha/Chicot,1059990576,Geographic HPSA,Primary Care,0,AR,Withdrawn,01/24/2002,11/02/2007,,Geographic Population,32,,
Dewitt,1059990509,Geographic HPSA,Primary Care,0,AR,Withdrawn,07/19/1978,07/17/2001,,Geographic Population,17.9,,
Diamond,1059990507,Geographic HPSA,Primary Care,0,AR,Withdrawn,08/09/1978,05/30/1997,,Geographic Population,17.8,,
Dierks,1053532381,Geographic HPSA,Primary Care,14,AR,Designated,08/07/1989,,,Geographic Population,19.9,,
Dierks,1059990508,Geographic HPSA,Primary Care,0,AR,Withdrawn,07/19/1978,05/18/1981,,Geographic Population,0,,
Dumas,1059990520,Geographic HPSA,Primary Care,0,AR,Withdrawn,02/04/1983,06/18/1987,,Geographic Population,27,,
East Central Pulaski,1059990504,Geographic HPSA,Primary Care,0,AR,Withdrawn,09/27/1978,03/14/1984,,Geographic Population,29,,
East Little Rock,1059990557,Geographic HPSA,Primary Care,0,AR,Withdrawn,03/31/1997,01/24/2002,,Geographic Population,35.1,,
Elaine,1059990501,Geographic HPSA,Primary Care,0,AR,Withdrawn,05/30/1979,09/14/1992,,Geographic Population,52,,
England,1059990580,Geographic HPSA,Primary Care,12,AR,Withdrawn,01/24/2002,07/02/2018,,Geographic Population,16.6,,
Eudora,1059990548,Geographic HPSA,Primary Care,0,AR,Withdrawn,04/26/1990,10/02/1995,,Geographic Population,40,,
Franklin,105047,Geographic HPSA,Primary Care,0,AR,Withdrawn,09/12/1979,07/17/1996,,Geographic Population,20.4,,
Glenwood/Amity,1059990549,Geographic HPSA,Primary Care,0,AR,Withdrawn,03/02/1992,05/30/1997,,Geographic Population,27.1,,
Grant County,105053,Geographic HPSA,Primary Care,7,AR,Withdrawn,10/10/1979,06/27/2013,,Geographic Population,,,
Greer's Ferry,1059990535,Geographic HPSA,Primary Care,0,AR,Withdrawn,04/05/1985,06/18/1986,,Geographic Population,20,,
Harrisburg,1059990559,Geographic HPSA,Primary Care,0,AR,Withdrawn,08/28/1997,01/23/2002,,Geographic Population,19.4,,
Havana,1059990522,Geographic HPSA,Primary Care,0,AR,Withdrawn,05/09/1983,11/03/2011,,Geographic Population,,,
Hector,1059990518,Geographic HPSA,Primary Care,17,AR,Withdrawn,10/20/1981,06/27/2013,,Geographic Population,,,
Hermitage,1059990532,Geographic HPSA,Primary Care,0,AR,Withdrawn,10/31/1984,11/03/2011,,Geographic Population,,,
Horseshoe Bend,1059990505,Geographic HPSA,Primary Care,0,AR,Withdrawn,09/17/1979,05/30/1997,,Geographic Population,17.1,,
Howard,105061,Geographic HPSA,Primary Care,0,AR,Withdrawn,05/18/1981,04/04/1985,,Geographic Population,18.6,,
Lincoln County,1052908215,Geographic HPSA,Primary Care,15,AR,Designated,07/19/1978,,,Geographic Population,26.6,,
Little River,105081,Geographic HPSA,Primary Care,0,AR,Withdrawn,07/19/1978,03/14/1984,,Geographic Population,19,,
Logan,105083,Geographic HPSA,Primary Care,0,AR,Withdrawn,01/24/2002,01/12/2012,,Geographic Population,,,
Lonoke,105085,Geographic HPSA,Primary Care,0,AR,Withdrawn,09/27/1978,01/24/2002,,Geographic Population,26,,
Madison,105087,Geographic HPSA,Primary Care,0,AR,Withdrawn,01/26/1989,12/20/2011,,Geographic Population,,,
Mammoth Spring,1059990539,Geographic HPSA,Primary Care,0,AR,Withdrawn,03/12/1987,09/26/2006,,Geographic Population,26.6,,
Marion/Lead Hill Service Area,1059990531,Geographic HPSA,Primary Care,8,AR,Withdrawn,10/02/1984,10/23/2013,,Geographic Population,,,
Marked Tree,10599905A5,Geographic HPSA,Primary Care,17,AR,Withdrawn,02/22/2008,07/01/2016,,Geographic Population,24.2,,
McAlmont,1059990517,Geographic HPSA,Primary Care,0,AR,Withdrawn,08/12/1981,04/04/1985,,Geographic Population,34,,
Mississippi,105093,Geographic HPSA,Primary Care,0,AR,Withdrawn,04/10/1978,03/14/1984,,Geographic Population,26,,
Monette Service Area,10599905A8,Geographic HPSA,Primary Care,12,AR,Withdrawn,04/10/2008,07/02/2018,,Geographic Population,15,,
Montgomery County,1058319400,Geographic HPSA,Primary Care,14,AR,Designated,09/12/1979,,,Geographic Population,20.4,,
Mountainburg,1059990546,Geographic HPSA,Primary Care,0,AR,Withdrawn,08/07/1989,06/29/2012,,Geographic Population,,,
North Central Pine Bluff,1059990529,Geographic HPSA,Primary Care,0,AR,Withdrawn,07/19/1984,06/29/2012,,Geographic Population,,,
Osceola/Wilson,1059990524,Geographic HPSA,Primary Care,0,AR,Withdrawn,03/14/1984,01/14/1987,,Geographic Population,26,,
Ozark Service Area,1059990542,Geographic HPSA,Primary Care,6,AR,Withdrawn,08/07/1989,07/02/2018,,Geographic Population,28.5,,
Parkin/Earle,1059990512,Geographic HPSA,Primary Care,0,AR,Withdrawn,06/26/1980,06/23/1995,,Geographic Population,38.3,,
Perry County,105105,Geographic HPSA,Primary Care,16,AR,Withdrawn,08/13/1979,06/26/2017,,Geographic Population,13.9,,
Perryville,1059990521,Geographic HPSA,Primary Care,0,AR,Withdrawn,05/09/1983,03/14/1984,,Geographic Population,36,,
Poinsett,105111,Geographic HPSA,Primary Care,0,AR,Withdrawn,08/24/1981,05/30/1997,,Geographic Population,25.6,,
Prairie County,1051557019,Geographic HPSA,Primary Care,15,AR,Designated,08/15/2013,,,Geographic Population,20.2,,
Redfield,1059990502,Geographic HPSA,Primary Care,0,AR,Withdrawn,07/19/1978,09/08/2011,,Geographic Population,,,
Richland,1051092501,Geographic HPSA,Primary Care,11,AR,Designated,08/07/1989,,,Geographic Population,25.6,,
Rosston,1059990533,Geographic HPSA,Primary Care,0,AR,Withdrawn,04/04/1985,01/26/1989,,Geographic Population,28.1,,
Scott County,1058785764,Geographic HPSA,Primary Care,13,AR,Designated,09/12/1979,,,Geographic Population,19.4,,
Searcy,105129,Geographic HPSA,Primary Care,0,AR,Withdrawn,09/12/1979,11/03/2011,,Geographic Population,,,
Snow Lake,1059990545,Geographic HPSA,Primary Care,0,AR,Withdrawn,08/07/1989,11/03/2011,,Geographic Population,,,
Southern Clark County,1059990510,Geographic HPSA,Primary Care,0,AR,Withdrawn,06/12/1978,03/14/1984,,Geographic Population,24,,
Sparkman,1059990523,Geographic HPSA,Primary Care,0,AR,Withdrawn,10/06/1981,06/25/2007,,Geographic Population,23,,
St. Francis,105123,Geographic HPSA,Primary Care,0,AR,Withdrawn,07/28/1993,03/01/2011,,Geographic Population,,,
Starr,1059990519,Geographic HPSA,Primary Care,0,AR,Withdrawn,02/04/1983,05/12/1988,,Geographic Population,41,,
Stephens Service Area,1059990503,Geographic HPSA,Primary Care,0,AR,Withdrawn,08/24/1979,11/03/2011,,Geographic Population,,,
Strong,1059990506,Geographic HPSA,Primary Care,19,AR,Withdrawn,10/10/1979,07/02/2018,,Geographic Population,16.3,,
Trumann,10599905A3,Geographic HPSA,Primary Care,7,AR,Withdrawn,11/02/2007,06/27/2013,,Geographic Population,,,
Tyronza,10599905A6,Geographic HPSA,Primary Care,19,AR,Withdrawn,03/27/2008,06/27/2013,,Geographic Population,,,
Van Buren,105141,Geographic HPSA,Primary Care,0,AR,Withdrawn,09/12/1979,12/20/2011,,Geographic Population,,,
Vilonia,1059990530,Geographic HPSA,Primary Care,0,AR,Withdrawn,08/29/1984,05/30/1997,,Geographic Population,12.6,,
West Washington,1059990511,Geographic HPSA,Primary Care,9,AR,Withdrawn,10/02/1979,06/27/2013,,Geographic Population,,,
Desha County,1057483258,High Needs Geographic HPSA,Primary Care,15,AR,Designated,06/05/2017,,,Geographic Population,31.1,,
Desha/Dermott,10599905A2,High Needs Geographic HPSA,Primary Care,0,AR,Withdrawn,11/02/2007,06/29/2012,,Geographic Population,,,
